=== Run information ===

Scheme:       weka.classifiers.lazy.KStar -B 20 -M a
Relation:     cleaned_demone
Instances:    6268
Attributes:   5
              ID
              TRUNCATED
              possibly_sensitive
              retweeted_status
              reaction
Test mode:    evaluate on training data

=== Classifier model (full training set) ===

KStar Beta Verion (0.1b).
Copyright (c) 1995-97 by Len Trigg (trigg@cs.waikato.ac.nz).
Java port to Weka by Abdelaziz Mahoui (am14@cs.waikato.ac.nz).

KStar options : -B 20 -M a 

Time taken to build model: 0 seconds

=== Predictions on training set ===

    inst#     actual  predicted      error
        1      1         -0.12      -1.12  
        2      0         -0.12      -0.12  
        3     -1         -0.121      0.879 
        4     -1         -0.474      0.526 
        5     -1         -0.473      0.527 
        6     -1         -0.121      0.879 
        7     -1         -0.279      0.721 
        8     -1         -0.12       0.88  
        9     -1         -0.278      0.722 
       10     -1         -0.467      0.533 
       11     -1         -0.465      0.535 
       12      0         -0.276     -0.276 
       13     -1         -0.275      0.725 
       14     -1         -0.274      0.726 
       15     -1         -0.273      0.727 
       16     -1         -0.271      0.729 
       17     -1         -0.115      0.885 
       18     -1         -0.267      0.733 
       19     -1         -0.265      0.735 
       20      0         -0.262     -0.262 
       21      1         -0.162     -1.162 
       22     -1         -0.258      0.742 
       23      1         -0.164     -1.164 
       24     -1         -0.252      0.748 
       25     -1         -0.249      0.751 
       26      1         -0.106     -1.106 
       27      0         -0.106     -0.106 
       28      1         -0.24      -1.24  
       29      0         -0.421     -0.421 
       30     -1         -0.234      0.766 
       31      0         -0.232     -0.232 
       32      1         -0.103     -1.103 
       33      1         -0.103     -1.103 
       34     -1         -0.224      0.776 
       35     -1         -0.412      0.588 
       36      1         -0.104     -1.104 
       37      1         -0.104     -1.104 
       38      0         -0.212     -0.212 
       39      1         -0.209     -1.209 
       40      1         -0.107     -1.107 
       41      1         -0.108     -1.108 
       42      0         -0.11      -0.11  
       43      1         -0.111     -1.111 
       44     -1         -0.207      0.793 
       45     -1         -0.115      0.885 
       46      1         -0.21      -1.21  
       47      1         -0.193     -1.193 
       48      1         -0.12      -1.12  
       49      0         -0.121     -0.121 
       50      1         -0.189     -1.189 
       51      0         -0.188     -0.188 
       52     -1         -0.127      0.873 
       53     -1         -0.129      0.871 
       54     -1         -0.13       0.87  
       55     -1         -0.277      0.723 
       56     -1         -0.236      0.764 
       57     -1         -0.373      0.627 
       58     -1         -0.134      0.866 
       59     -1         -0.135      0.865 
       60     -1         -0.367      0.633 
       61      0         -0.136     -0.136 
       62     -1         -0.137      0.863 
       63     -1         -0.137      0.863 
       64     -1         -0.246      0.754 
       65     -1         -0.247      0.753 
       66     -1         -0.173      0.827 
       67     -1         -0.137      0.863 
       68     -1         -0.137      0.863 
       69      0         -0.137     -0.137 
       70      1         -0.136     -1.136 
       71     -1         -0.338      0.662 
       72      1         -0.232     -1.232 
       73     -1         -0.136      0.864 
       74     -1         -0.162      0.838 
       75      1         -0.161     -1.161 
       76      0         -0.16      -0.16  
       77      1         -0.135     -1.135 
       78      0         -0.243     -0.243 
       79     -1         -0.135      0.865 
       80      0         -0.135     -0.135 
       81      1         -0.135     -1.135 
