=== Run information ===

Scheme:       weka.classifiers.lazy.LWL -U 0 -K -1 -A "weka.core.neighboursearch.LinearNNSearch -A \"weka.core.EuclideanDistance -R first-last\"" -W weka.classifiers.trees.DecisionStump
Relation:     cleaned_demone
Instances:    6268
Attributes:   5
              ID
              TRUNCATED
              possibly_sensitive
              retweeted_status
              reaction
Test mode:    evaluate on training data

=== Classifier model (full training set) ===

Locally weighted learning
===========================
Using classifier: weka.classifiers.trees.DecisionStump
Using linear weighting kernels
Using all neighbours

Time taken to build model: 0 seconds

=== Predictions on training set ===

    inst#     actual  predicted      error
        1      1         -0.16      -1.16  
        2      0         -0.16      -0.16  
        3     -1         -0.16       0.84  
        4     -1         -0.263      0.737 
        5     -1         -0.263      0.737 
        6     -1         -0.16       0.84  
        7     -1         -0.255      0.745 
        8     -1         -0.16       0.84  
        9     -1         -0.255      0.745 
       10     -1         -0.263      0.737 
       11     -1         -0.263      0.737 
       12      0         -0.255     -0.255 
       13     -1         -0.255      0.745 
       14     -1         -0.255      0.745 
       15     -1         -0.255      0.745 
       16     -1         -0.255      0.745 
       17     -1         -0.16       0.84  
       18     -1         -0.255      0.745 
       19     -1         -0.255      0.745 
       20      0         -0.255     -0.255 
       21      1         -0.254     -1.254 
       22     -1         -0.255      0.745 
       23      1         -0.254     -1.254 
       24     -1         -0.255      0.745 
       25     -1         -0.255      0.745 
       26      1         -0.159     -1.159 
       27      0         -0.159     -0.159 
       28      1         -0.255     -1.255 
       29      0         -0.263     -0.263 
       30     -1         -0.255      0.745 
       31      0         -0.255     -0.255 
       32      1         -0.159     -1.159 
       33      1         -0.159     -1.159 
       34     -1         -0.255      0.745 
       35     -1         -0.263      0.737 
       36      1         -0.159     -1.159 
       37      1         -0.159     -1.159 
       38      0         -0.255     -0.255 
       39      1         -0.255     -1.255 
       40      1         -0.159     -1.159 
       41      1         -0.159     -1.159 
       42      0         -0.159     -0.159 
       43      1         -0.159     -1.159 
       44     -1         -0.254      0.746 
       45     -1         -0.159      0.841 
       46      1         -0.254     -1.254 
       47      1         -0.255     -1.255 
       48      1         -0.159     -1.159 
       49      0         -0.159     -0.159 
       50      1         -0.255     -1.255 
       51      0         -0.255     -0.255 
       52     -1         -0.159      0.841 
       53     -1         -0.159      0.841 
       54     -1         -0.159      0.841 
       55     -1         -0.261      0.739 
       56     -1         -0.254      0.746 
       57     -1         -0.263      0.737 
       58     -1         -0.159      0.841 
       59     -1         -0.159      0.841 
       60     -1         -0.263      0.737 
       61      0         -0.159     -0.159 
       62     -1         -0.159      0.841 
       63     -1         -0.159      0.841 
       64     -1         -0.254      0.746 
       65     -1         -0.254      0.746 
       66     -1         -0.255      0.745 
       67     -1         -0.159      0.841 
       68     -1         -0.159      0.841 
       69      0         -0.159     -0.159 
       70      1         -0.159     -1.159 
       71     -1         -0.263      0.737 
       72      1         -0.261     -1.261 
       73     -1         -0.159      0.841 
       74     -1         -0.255      0.745 
       75      1         -0.255     -1.255 
       76      0         -0.255     -0.255 
       77      1         -0.159     -1.159 
       78      0         -0.254     -0.254 
       79     -1         -0.159      0.841 
       80      0         -0.159     -0.159 
       81      1         -0.159     -1.159 
       82      1         -0.159     -1.159 
       83     -1         -0.261      0.739 
       84     -1         -0.263      0.737 
       85      1         -0.159     -1.159 
       86      1         -0.261     -1.261 
       87      0         -0.159     -0.159 
       88      1         -0.159     -1.159 
       89      1         -0.263     -1.263 
       90      1         -0.159     -1.159 
       91      0         -0.159     -0.159 
       92      1         -0.263     -1.263 
       93     -1         -0.254      0.746 
       94     -1         -0.159      0.841 
       95      1         -0.255     -1.255 
       96      1         -0.159     -1.159 
       97      1         -0.159     -1.159 
       98      0         -0.159     -0.159 
       99      1         -0.255     -1.255 
      100      0         -0.254     -0.254 
      101     -1         -0.159      0.841 
      102     -1         -0.159      0.841 
      103     -1         -0.159      0.841 
      104     -1         -0.159      0.841 
      105     -1         -0.159      0.841 
      106     -1         -0.263      0.737 
      107     -1         -0.261      0.739 
      108     -1         -0.159      0.841 
      109     -1         -0.255      0.745 
      110      0         -0.254     -0.254 
      111     -1         -0.159      0.841 
      112     -1         -0.159      0.841 
      113     -1         -0.263      0.737 
      114     -1         -0.159      0.841 
      115     -1         -0.254      0.746 
      116     -1         -0.159      0.841 
      117     -1         -0.159      0.841 
      118      0         -0.255     -0.255 
      119      1         -0.255     -1.255 
      120     -1         -0.255      0.745 
      121      1         -0.263     -1.263 
      122     -1         -0.255      0.745 
      123     -1         -0.255      0.745 
      124      1         -0.263     -1.263 
      125      0         -0.254     -0.254 
      126      1         -0.159     -1.159 
      127      0         -0.261     -0.261 
      128     -1         -0.159      0.841 
      129      0         -0.255     -0.255 
      130      1         -0.255     -1.255 
      131      1         -0.255     -1.255 
      132     -1         -0.159      0.841 
      133     -1         -0.159      0.841 
      134      1         -0.159     -1.159 
      135      1         -0.159     -1.159 
      136      0         -0.255     -0.255 
      137      1         -0.255     -1.255 
      138      1         -0.255     -1.255 
      139      1         -0.159     -1.159 
      140      0         -0.159     -0.159 
      141      1         -0.159     -1.159 
      142     -1         -0.159      0.841 
      143     -1         -0.261      0.739 
      144      1         -0.159     -1.159 
      145      1         -0.255     -1.255 
      146      1         -0.263     -1.263 
      147      0         -0.252     -0.252 
      148          ?     -0.255          ? 
      149          ?     -0.263          ? 
      150          ?     -0.159          ? 
      151          ?     -0.159          ? 
      152      1         -0.159     -1.159 
      153      0         -0.255     -0.255 
      154     -1         -0.159      0.841 
      155     -1         -0.159      0.841 
      156     -1         -0.255      0.745 
      157     -1         -0.254      0.746 
      158     -1         -0.255      0.745 
      159     -1         -0.255      0.745 
      160     -1         -0.255      0.745 
      161     -1         -0.255      0.745 
      162     -1         -0.255      0.745 
      163      0         -0.263     -0.263 
      164     -1         -0.159      0.841 
      165     -1         -0.255      0.745 
      166     -1         -0.159      0.841 
      167     -1         -0.159      0.841 
      168     -1         -0.159      0.841 
      169     -1         -0.159      0.841 
      170     -1         -0.254      0.746 
      171      0         -0.159     -0.159 
      172      1         -0.159     -1.159 
      173     -1         -0.159      0.841 
      174      1         -0.159     -1.159 
      175     -1         -0.255      0.745 
      176     -1         -0.255      0.745 
      177      1         -0.254     -1.254 
      178      0         -0.255     -0.255 
      179      1         -0.159     -1.159 
      180      0         -0.255     -0.255 
      181     -1         -0.255      0.745 
      182      0         -0.255     -0.255 
      183      1         -0.255     -1.255 
      184      1         -0.255     -1.255 
      185     -1         -0.255      0.745 
      186     -1         -0.263      0.737 
      187      1         -0.255     -1.255 
      188      1         -0.254     -1.254 
      189      0         -0.255     -0.255 
      190      1         -0.255     -1.255 
      191      1         -0.255     -1.255 
      192      1         -0.159     -1.159 
      193      0         -0.255     -0.255 
      194      1         -0.159     -1.159 
      195     -1         -0.255      0.745 
      196     -1         -0.255      0.745 
      197      1         -0.159     -1.159 
      198      1         -0.159     -1.159 
      199      1         -0.255     -1.255 
      200      0         -0.255     -0.255 
      201      1         -0.255     -1.255 
      202      0         -0.255     -0.255 
      203     -1         -0.159      0.841 
      204     -1         -0.159      0.841 
      205     -1         -0.255      0.745 
      206     -1         -0.255      0.745 
      207     -1         -0.159      0.841 
      208     -1         -0.159      0.841 
      209     -1         -0.263      0.737 
      210     -1         -0.255      0.745 
      211     -1         -0.159      0.841 
      212      0         -0.159     -0.159 
      213     -1         -0.159      0.841 
      214     -1         -0.159      0.841 
      215     -1         -0.159      0.841 
      216     -1         -0.254      0.746 
      217     -1         -0.159      0.841 
      218     -1         -0.255      0.745 
      219     -1         -0.159      0.841 
      220      0         -0.159     -0.159 
      221      1         -0.255     -1.255 
      222     -1         -0.263      0.737 
      223      1         -0.159     -1.159 
      224     -1         -0.159      0.841 
      225     -1         -0.159      0.841 
      226      1         -0.255     -1.255 
      227      0         -0.159     -0.159 
      228      1         -0.255     -1.255 
      229      0         -0.159     -0.159 
      230     -1         -0.254      0.746 
      231      0         -0.263     -0.263 
      232      1         -0.159     -1.159 
      233      1         -0.254     -1.254 
      234     -1         -0.159      0.841 
      235     -1         -0.159      0.841 
      236      1         -0.159     -1.159 
      237      1         -0.255     -1.255 
      238      0         -0.159     -0.159 
      239      1         -0.159     -1.159 
      240      1         -0.159     -1.159 
      241      1         -0.159     -1.159 
      242      0         -0.255     -0.255 
      243      1         -0.255     -1.255 
      244     -1         -0.159      0.841 
      245     -1         -0.255      0.745 
      246      1         -0.255     -1.255 
      247      1         -0.255     -1.255 
      248      1         -0.159     -1.159 
      249      0         -0.159     -0.159 
      250      1         -0.159     -1.159 
      251      0         -0.254     -0.254 
      252     -1         -0.159      0.841 
      253     -1         -0.159      0.841 
      254     -1         -0.263      0.737 
      255     -1         -0.255      0.745 
      256     -1         -0.159      0.841 
      257     -1         -0.255      0.745 
      258     -1         -0.159      0.841 
      259     -1         -0.159      0.841 
      260     -1         -0.255      0.745 
      261      0         -0.159     -0.159 
      262     -1         -0.254      0.746 
      263     -1         -0.263      0.737 
      264     -1         -0.159      0.841 
      265     -1         -0.159      0.841 
      266     -1         -0.255      0.745 
      267     -1         -0.159      0.841 
      268     -1         -0.159      0.841 
      269      0         -0.159     -0.159 
      270      1         -0.255     -1.255 
      271     -1         -0.159      0.841 
      272      1         -0.159     -1.159 
      273     -1         -0.159      0.841 
      274     -1         -0.254      0.746 
      275      1         -0.159     -1.159 
      276      0         -0.159     -0.159 
      277      1         -0.255     -1.255 
      278      0         -0.261     -0.261 
      279     -1         -0.254      0.746 
      280      0         -0.255     -0.255 
      281      1         -0.254     -1.254 
      282      1         -0.159     -1.159 
      283     -1         -0.254      0.746 
      284     -1         -0.255      0.745 
      285      1         -0.159     -1.159 
      286      1         -0.159     -1.159 
      287      0         -0.159     -0.159 
      288      1         -0.159     -1.159 
      289      1         -0.255     -1.255 
      290      1         -0.255     -1.255 
      291      0         -0.263     -0.263 
      292      1         -0.255     -1.255 
      293     -1         -0.261      0.739 
      294     -1         -0.255      0.745 
      295      1         -0.255     -1.255 
      296      1         -0.159     -1.159 
      297      1         -0.159     -1.159 
      298      0         -0.255     -0.255 
      299      1         -0.159     -1.159 
      300      0         -0.255     -0.255 
      301     -1         -0.255      0.745 
      302     -1         -0.255      0.745 
      303     -1         -0.159      0.841 
      304     -1         -0.254      0.746 
      305     -1         -0.159      0.841 
      306     -1         -0.159      0.841 
      307     -1         -0.255      0.745 
      308     -1         -0.255      0.745 
      309     -1         -0.255      0.745 
      310      0         -0.254     -0.254 
      311     -1         -0.254      0.746 
      312     -1         -0.159      0.841 
      313     -1         -0.159      0.841 
      314     -1         -0.263      0.737 
      315     -1         -0.159      0.841 
      316     -1         -0.255      0.745 
      317     -1         -0.255      0.745 
      318      0         -0.254     -0.254 
      319      1         -0.255     -1.255 
      320     -1         -0.263      0.737 
      321      1         -0.254     -1.254 
      322     -1         -0.159      0.841 
      323     -1         -0.254      0.746 
      324      1         -0.263     -1.263 
      325      0         -0.159     -0.159 
      326      1         -0.159     -1.159 
      327      0         -0.263     -0.263 
      328     -1         -0.159      0.841 
      329      0         -0.255     -0.255 
      330      1         -0.263     -1.263 
      331      1         -0.255     -1.255 
      332     -1         -0.255      0.745 
      333     -1         -0.263      0.737 
      334      1         -0.255     -1.255 
      335      1         -0.254     -1.254 
      336      0         -0.263     -0.263 
      337      1         -0.159     -1.159 
      338      1         -0.159     -1.159 
      339      1         -0.159     -1.159 
      340      0         -0.159     -0.159 
      341      1         -0.159     -1.159 
      342     -1         -0.159      0.841 
      343     -1         -0.159      0.841 
      344      1         -0.255     -1.255 
      345      1         -0.159     -1.159 
      346      1         -0.254     -1.254 
      347      0         -0.159     -0.159 
      348      1         -0.159     -1.159 
      349      0         -0.159     -0.159 
      350     -1         -0.159      0.841 
      351     -1         -0.255      0.745 
      352     -1         -0.159      0.841 
      353     -1         -0.263      0.737 
      354     -1         -0.254      0.746 
      355     -1         -0.254      0.746 
      356     -1         -0.159      0.841 
      357     -1         -0.159      0.841 
      358     -1         -0.255      0.745 
      359      0         -0.255     -0.255 
      360     -1         -0.263      0.737 
      361     -1         -0.159      0.841 
      362     -1         -0.263      0.737 
      363     -1         -0.159      0.841 
      364     -1         -0.159      0.841 
      365     -1         -0.255      0.745 
      366     -1         -0.255      0.745 
      367      0         -0.159     -0.159 
      368      1         -0.159     -1.159 
      369     -1         -0.159      0.841 
      370      1         -0.159     -1.159 
      371     -1         -0.254      0.746 
      372     -1         -0.159      0.841 
      373      1         -0.159     -1.159 
      374      0         -0.254     -0.254 
      375      1         -0.159     -1.159 
      376      0         -0.159     -0.159 
      377     -1         -0.159      0.841 
      378      0         -0.159     -0.159 
      379      1         -0.159     -1.159 
      380      1         -0.159     -1.159 
      381     -1         -0.159      0.841 
      382     -1         -0.158      0.842 
      383      1         -0.158     -1.158 
      384      1         -0.254     -1.254 
      385      0         -0.254     -0.254 
      386      1         -0.254     -1.254 
      387      1         -0.158     -1.158 
      388      1         -0.158     -1.158 
      389      0         -0.255     -0.255 
      390      1         -0.254     -1.254 
      391     -1         -0.255      0.745 
      392     -1         -0.158      0.842 
      393      1         -0.158     -1.158 
      394      1         -0.158     -1.158 
      395      1         -0.158     -1.158 
      396      0         -0.263     -0.263 
      397      1         -0.158     -1.158 
      398      0         -0.261     -0.261 
      399     -1         -0.158      0.842 
      400     -1         -0.255      0.745 
      401     -1         -0.254      0.746 
      402     -1         -0.158      0.842 
      403     -1         -0.261      0.739 
      404     -1         -0.255      0.745 
      405     -1         -0.255      0.745 
      406     -1         -0.158      0.842 
      407     -1         -0.254      0.746 
      408      0         -0.261     -0.261 
      409     -1         -0.158      0.842 
      410     -1         -0.158      0.842 
      411     -1         -0.254      0.746 
      412     -1         -0.254      0.746 
      413     -1         -0.158      0.842 
      414     -1         -0.252      0.748 
      415     -1         -0.255      0.745 
      416      0         -0.255     -0.255 
      417      1         -0.255     -1.255 
      418     -1         -0.158      0.842 
      419      1         -0.158     -1.158 
      420     -1         -0.255      0.745 
      421     -1         -0.263      0.737 
      422      1         -0.261     -1.261 
      423      0         -0.255     -0.255 
      424      1         -0.158     -1.158 
      425      0         -0.255     -0.255 
      426     -1         -0.255      0.745 
      427      0         -0.255     -0.255 
      428      1         -0.263     -1.263 
      429      1         -0.158     -1.158 
      430     -1         -0.254      0.746 
      431     -1         -0.263      0.737 
      432      1         -0.158     -1.158 
      433      1         -0.255     -1.255 
      434      0         -0.255     -0.255 
      435      1         -0.255     -1.255 
      436      1         -0.158     -1.158 
      437      1         -0.158     -1.158 
      438      0         -0.158     -0.158 
      439      1         -0.158     -1.158 
      440     -1         -0.255      0.745 
      441     -1         -0.255      0.745 
      442      1         -0.255     -1.255 
      443      1         -0.158     -1.158 
      444      1         -0.158     -1.158 
      445      0         -0.158     -0.158 
      446      1         -0.158     -1.158 
