     possibly_sensitive retweeted_status  reaction
1             0.6021767        0.7672972 0.8314532
2             0.6108375        0.7614715 0.8257877
3             0.6072039        0.7651973 0.8339462
4             0.6091758        0.7667522 0.8224472
5             0.6255235        0.7523153 0.8271796
6             0.6068260        0.7640264 0.8271243
7             0.6142139        0.7618542 0.8321301
8             0.6248561        0.7529799 0.8291680
9             0.6101830        0.7637640 0.8335358
10            0.6262849        0.7518587 0.8278034
11            0.6185296        0.7602705 0.8274680
12            0.6017777        0.7713374 0.8217640
13            0.6171391        0.7575187 0.8251197
14            0.6211215        0.7550363 0.8255353
15            0.6111652        0.7632927 0.8332860
16            0.6207456        0.7552702 0.8254637
17            0.6259282        0.7520706 0.8274758
18            0.6209068        0.7551699 0.8254935
19            0.6233322        0.7536637 0.8261322
20            0.6120352        0.7649366 0.8230038
21            0.6067278        0.7654251 0.8339577
22            0.6119787        0.7629043 0.8330366
23            0.6260198        0.7521621 0.8292157
24            0.6021699        0.7673199 0.8315764
25            0.6107843        0.7615051 0.8258002
26            0.6039560        0.7667177 0.8335713
27            0.6164692        0.7608494 0.8307470
28            0.6054736        0.7649054 0.8278120
29            0.6040970        0.7658215 0.8287249
30            0.6200264        0.7563391 0.8271203
31            0.6242305        0.7534157 0.8290268
32            0.6055138        0.7660008 0.8339007
33            0.6189976        0.7563590 0.8252242
34            0.6063919        0.7655852 0.8339551
35            0.5982639        0.7734826 0.8216710
36            0.6095436        0.7640717 0.8336688
37            0.6097693        0.7639631 0.8336246
38            0.6136684        0.7621073 0.8323846
39            0.6184162        0.7601933 0.8282538
40            0.6097427        0.7639759 0.8336299
41            0.6266629        0.7516870 0.8288484
42            0.6266067        0.7517325 0.8289351
43            0.5738458        0.7881284 0.8230536
44            0.6067088        0.7641021 0.8271778
45            0.6090811        0.7640573 0.8179801
46            0.6084378        0.7645171 0.8173018
47            0.6083062        0.7630773 0.8265282
48            0.6150797        0.7614587 0.8316718
49            0.6262053        0.7519055 0.8277221
50            0.6169320        0.7606583 0.8303607
51            0.6133851        0.7622397 0.8325077
52            0.6033153        0.7663616 0.8294126
53            0.6106164        0.7616112 0.8258404
54            0.6091140        0.7625629 0.8262574
55            0.6027143        0.7668014 0.8301253
56            0.6030190        0.7665741 0.8297332
57            0.6029425        0.7671487 0.8330496
58            0.6168922        0.7576729 0.8251165
59            0.6103025        0.7631862 0.8192285
60            0.6070866        0.7652535 0.8339506
61            0.6264965        0.7518166 0.8290386
62            0.6070391        0.7652762 0.8339521
63            0.6027981        0.7672043 0.8329315
64            0.6254798        0.7523418 0.8271508
65            0.6025873        0.7669005 0.8303191
66            0.6253732        0.7526183 0.8292345
67            0.6027650        0.7672167 0.8329016
68            0.5888906        0.7791463 0.8218671
69            0.6096675        0.7640121 0.8336449
70            0.6152474        0.7613832 0.8315741
71            0.6260641        0.7521305 0.8292079
72            0.6029999        0.7705873 0.8218250
73            0.5879455        0.7797139 0.8219146
74            0.6138392        0.7595835 0.8252750
75            0.6121675        0.7606334 0.8255154
76            0.5822204        0.7831413 0.8222877
77            0.6086179        0.7645176 0.8338193
78            0.6144142        0.7602726 0.8230345
79            0.6085287        0.7645606 0.8338311
80            0.6025824        0.7672813 0.8327124
81            0.5897576        0.7786252 0.8218274
82            0.6079362        0.7648457 0.8338968
83            0.6169412        0.7584957 0.8250480
84            0.6192882        0.7561779 0.8252540
85            0.6100271        0.7633824 0.8189515
86            0.6040025        0.7666970 0.8335873
87            0.6175227        0.7604305 0.8297678
88            0.6170567        0.7615749 0.8250553
89            0.6023639        0.7670874 0.8307458
90            0.6166293        0.7618813 0.8247602
91            0.6156262        0.7584643 0.8251383
92            0.6116334        0.7651941 0.8229103
93            0.6024398        0.7673255 0.8325221
94            0.6137246        0.7607594 0.8224404
95            0.5822089        0.7831481 0.8222886
96            0.6194114        0.7567680 0.8267447
97            0.6213101        0.7554454 0.8278358
98            0.6081999        0.7647189 0.8338703
99            0.6150874        0.7614552 0.8316674
100           0.6192594        0.7561958 0.8252509
101           0.6257905        0.7523247 0.8292400
102           0.6265598        0.7517687 0.8289858
103           0.6251612        0.7527668 0.8292139
104           0.6132783        0.7599354 0.8253434
105           0.6237265        0.7537661 0.8288763
106           0.6022403        0.7673637 0.8320976
107           0.6178263        0.7603255 0.8293914
108           0.6049797        0.7662504 0.8338278
109           0.6102901        0.7618174 0.8259220
110           0.6160555        0.7591174 0.8243724
111           0.6090206        0.7626222 0.8262869
112           0.6084017        0.7630163 0.8264943
113           0.6058515        0.7646582 0.8276031
114           0.6226614        0.7540795 0.8259155
115           0.6151715        0.7597391 0.8236654
116           0.6125180        0.7626482 0.8328490
117           0.6162401        0.7589877 0.8245161
118           0.6080838        0.7647747 0.8338825
119           0.6178724        0.7603108 0.8293277
120           0.6036525        0.7668517 0.8334539
121           0.6218415        0.7550759 0.8281023
122           0.6029291        0.7666401 0.8298408
123           0.6060230        0.7645466 0.8275130
124           0.6027000        0.7668124 0.8301459
125           0.6193383        0.7568190 0.8266988
126           0.6255963        0.7522710 0.8272289
127           0.6082683        0.7631014 0.8265417
128           0.6176563        0.7571958 0.8251343
129           0.5729427        0.7886647 0.8231495
130           0.6217288        0.7551542 0.8280474
131           0.5877332        0.7798413 0.8219259
132           0.6235840        0.7535079 0.8262232
133           0.6033219        0.7669936 0.8332937
134           0.6034962        0.7662344 0.8292364
135           0.6025010        0.7673075 0.8326101
136           0.6032498        0.7670239 0.8332531
137           0.6055620        0.7648475 0.8277618
138           0.6090837        0.7640554 0.8179828
139           0.6134830        0.7621939 0.8324658
140           0.6026410        0.7668582 0.8302342
141           0.6136516        0.7621151 0.8323921
142           0.6085027        0.7645731 0.8338344
143           0.6056466        0.7647921 0.8277146
144           0.6181729        0.7607014 0.8262451
145           0.6031576        0.7664740 0.8295775
146           0.6064531        0.7642674 0.8272983
152           0.6203105        0.7561411 0.8272869
153           0.6159103        0.7623819 0.8243504
154           0.6119271        0.7607847 0.8255592
155           0.5931760        0.7765656 0.8217100
156           0.6098804        0.7634870 0.8188029
157           0.6116546        0.7630587 0.8331406
158           0.6196202        0.7559710 0.8252928
159           0.6081665        0.7631664 0.8265786
160           0.6224335        0.7546645 0.8283762
161           0.6065766        0.7658514 0.8152595
162           0.5932775        0.7765043 0.8217075
163           0.6266674        0.7516466 0.8283768
164           0.6103076        0.7618063 0.8259174
165           0.6072602        0.7637469 0.8269346
166           0.6157139        0.7593575 0.8241030
167           0.6050877        0.7662002 0.8338454
168           0.6183824        0.7601937 0.8283593
169           0.6030295        0.7665665 0.8297210
170           0.6138626        0.7620169 0.8322968
171           0.6144508        0.7617451 0.8320117
172           0.6053562        0.7667297 0.8138570
173           0.6058740        0.7663567 0.8144582
174           0.6106743        0.7629216 0.8195981
175           0.6197236        0.7559066 0.8253059
176           0.6089277        0.7643684 0.8337746
177           0.6112464        0.7612135 0.8256961
178           0.6167092        0.7618246 0.8248119
179           0.6231790        0.7537586 0.8260795
180           0.6170732        0.7615629 0.8250678
181           0.6021979        0.7672610 0.8312917
182           0.6183524        0.7605304 0.8266075
183           0.6095307        0.7640780 0.8336713
184           0.6089213        0.7626854 0.8263188
185           0.6252577        0.7526992 0.8292245
186           0.5812536        0.7837185 0.8223638
187           0.6227558        0.7540210 0.8259439
188           0.6232777        0.7536974 0.8261133
189           0.6153840        0.7627402 0.8240982
190           0.6157716        0.7593169 0.8241489
191           0.6267018        0.7516330 0.8285000
192           0.6184393        0.7604337 0.8268601
193           0.6028399        0.7671885 0.8329675
194           0.6085641        0.7629128 0.8264379
195           0.6087836        0.7627730 0.8263639
196           0.6245867        0.7528888 0.8266498
197           0.6267136        0.7516323 0.8285930
198           0.5892356        0.7789390 0.8218508
199           0.6266775        0.7516421 0.8284065
200           0.5828287        0.7827779 0.8222416
