=== Run information ===

Scheme:       weka.classifiers.rules.DecisionTable -X 1 -S "weka.attributeSelection.BestFirst -D 1 -N 5"
Relation:     cleaned_demone
Instances:    6268
Attributes:   5
              ID
              TRUNCATED
              possibly_sensitive
              retweeted_status
              reaction
Test mode:    evaluate on training data

=== Classifier model (full training set) ===

Decision Table:

Number of training instances: 6260
Number of Rules : 10
Non matches covered by Majority class.
	Best first.
	Start set: no attributes
	Search direction: forward
	Stale search after 5 node expansions
	Total number of subsets evaluated: 11
	Merit of best subset found:    0.867
Evaluation (for feature selection): CV (leave one out) 
Feature set: 1,5

Time taken to build model: 0.1 seconds

=== Predictions on training set ===

    inst#     actual  predicted      error
        1      1         -0.178     -1.178 
        2      0         -0.178     -0.178 
        3     -1         -0.178      0.822 
        4     -1         -0.178      0.822 
        5     -1         -0.178      0.822 
        6     -1         -0.178      0.822 
        7     -1         -0.178      0.822 
        8     -1         -0.178      0.822 
        9     -1         -0.178      0.822 
       10     -1         -0.178      0.822 
       11     -1         -0.178      0.822 
       12      0         -0.178     -0.178 
       13     -1         -0.178      0.822 
       14     -1         -0.178      0.822 
       15     -1         -0.178      0.822 
       16     -1         -0.178      0.822 
       17     -1         -0.178      0.822 
       18     -1         -0.178      0.822 
       19     -1         -0.178      0.822 
       20      0         -0.178     -0.178 
       21      1         -0.178     -1.178 
       22     -1         -0.178      0.822 
       23      1         -0.178     -1.178 
       24     -1         -0.178      0.822 
       25     -1         -0.178      0.822 
       26      1         -0.178     -1.178 
       27      0         -0.178     -0.178 
       28      1         -0.178     -1.178 
       29      0         -0.178     -0.178 
       30     -1         -0.178      0.822 
       31      0         -0.178     -0.178 
       32      1         -0.178     -1.178 
       33      1         -0.178     -1.178 
       34     -1         -0.178      0.822 
       35     -1         -0.178      0.822 
       36      1         -0.178     -1.178 
       37      1         -0.178     -1.178 
       38      0         -0.178     -0.178 
       39      1         -0.178     -1.178 
       40      1         -0.178     -1.178 
       41      1         -0.178     -1.178 
       42      0         -0.178     -0.178 
       43      1         -0.178     -1.178 
       44     -1         -0.178      0.822 
       45     -1         -0.178      0.822 
       46      1         -0.178     -1.178 
       47      1         -0.178     -1.178 
       48      1         -0.178     -1.178 
       49      0         -0.178     -0.178 
       50      1         -0.178     -1.178 
       51      0         -0.178     -0.178 
       52     -1         -0.178      0.822 
       53     -1         -0.178      0.822 
       54     -1         -0.178      0.822 
       55     -1         -0.178      0.822 
       56     -1         -0.178      0.822 
       57     -1         -0.178      0.822 
       58     -1         -0.178      0.822 
       59     -1         -0.178      0.822 
       60     -1         -0.178      0.822 
       61      0         -0.178     -0.178 
       62     -1         -0.178      0.822 
       63     -1         -0.178      0.822 
       64     -1         -0.178      0.822 
       65     -1         -0.178      0.822 
       66     -1         -0.178      0.822 
       67     -1         -0.178      0.822 
       68     -1         -0.178      0.822 
       69      0         -0.178     -0.178 
       70      1         -0.178     -1.178 
       71     -1         -0.178      0.822 
       72      1         -0.178     -1.178 
       73     -1         -0.178      0.822 
       74     -1         -0.178      0.822 
       75      1         -0.178     -1.178 
       76      0         -0.178     -0.178 
       77      1         -0.178     -1.178 
       78      0         -0.178     -0.178 
       79     -1         -0.178      0.822 
       80      0         -0.178     -0.178 
       81      1         -0.178     -1.178 
       82      1         -0.178     -1.178 
       83     -1         -0.178      0.822 
       84     -1         -0.178      0.822 
       85      1         -0.178     -1.178 
       86      1         -0.178     -1.178 
       87      0         -0.178     -0.178 
       88      1         -0.178     -1.178 
       89      1         -0.178     -1.178 
       90      1         -0.178     -1.178 
       91      0         -0.178     -0.178 
       92      1         -0.178     -1.178 
       93     -1         -0.178      0.822 
       94     -1         -0.178      0.822 
       95      1         -0.178     -1.178 
       96      1         -0.178     -1.178 
       97      1         -0.178     -1.178 
       98      0         -0.178     -0.178 
       99      1         -0.178     -1.178 
      100      0         -0.178     -0.178 
      101     -1         -0.178      0.822 
      102     -1         -0.178      0.822 
      103     -1         -0.178      0.822 
      104     -1         -0.178      0.822 
      105     -1         -0.178      0.822 
      106     -1         -0.178      0.822 
      107     -1         -0.178      0.822 
      108     -1         -0.178      0.822 
      109     -1         -0.178      0.822 
      110      0         -0.178     -0.178 
      111     -1         -0.178      0.822 
      112     -1         -0.178      0.822 
      113     -1         -0.178      0.822 
      114     -1         -0.178      0.822 
      115     -1         -0.178      0.822 
      116     -1         -0.178      0.822 
      117     -1         -0.178      0.822 
      118      0         -0.178     -0.178 
      119      1         -0.178     -1.178 
      120     -1         -0.178      0.822 
      121      1         -0.178     -1.178 
      122     -1         -0.178      0.822 
      123     -1         -0.178      0.822 
      124      1         -0.178     -1.178 
      125      0         -0.178     -0.178 
      126      1         -0.178     -1.178 
      127      0         -0.178     -0.178 
      128     -1         -0.178      0.822 
      129      0         -0.178     -0.178 
      130      1         -0.178     -1.178 
      131      1         -0.178     -1.178 
      132     -1         -0.178      0.822 
      133     -1         -0.178      0.822 
      134      1         -0.178     -1.178 
      135      1         -0.178     -1.178 
      136      0         -0.178     -0.178 
      137      1         -0.178     -1.178 
      138      1         -0.178     -1.178 
      139      1         -0.178     -1.178 
      140      0         -0.178     -0.178 
      141      1         -0.178     -1.178 
      142     -1         -0.178      0.822 
      143     -1         -0.178      0.822 
      144      1         -0.178     -1.178 
      145      1         -0.178     -1.178 
      146      1         -0.178     -1.178 
      147      0         -0.178     -0.178 
      148          ?     -0.178          ? 
      149          ?     -0.178          ? 
      150          ?     -0.178          ? 
      151          ?     -0.178          ? 
      152      1         -0.178     -1.178 
      153      0         -0.178     -0.178 
      154     -1         -0.178      0.822 
      155     -1         -0.178      0.822 
      156     -1         -0.178      0.822 
      157     -1         -0.178      0.822 
      158     -1         -0.178      0.822 
      159     -1         -0.178      0.822 
      160     -1         -0.178      0.822 
      161     -1         -0.178      0.822 
      162     -1         -0.178      0.822 
      163      0         -0.178     -0.178 
      164     -1         -0.178      0.822 
      165     -1         -0.178      0.822 
      166     -1         -0.178      0.822 
      167     -1         -0.178      0.822 
      168     -1         -0.178      0.822 
      169     -1         -0.178      0.822 
      170     -1         -0.178      0.822 
      171      0         -0.178     -0.178 
      172      1         -0.178     -1.178 
      173     -1         -0.178      0.822 
      174      1         -0.178     -1.178 
      175     -1         -0.178      0.822 
      176     -1         -0.178      0.822 
      177      1         -0.178     -1.178 
      178      0         -0.178     -0.178 
      179      1         -0.178     -1.178 
      180      0         -0.178     -0.178 
      181     -1         -0.178      0.822 
      182      0         -0.178     -0.178 
      183      1         -0.178     -1.178 
      184      1         -0.178     -1.178 
      185     -1         -0.178      0.822 
      186     -1         -0.178      0.822 
      187      1         -0.178     -1.178 
      188      1         -0.178     -1.178 
      189      0         -0.178     -0.178 
      190      1         -0.178     -1.178 
      191      1         -0.178     -1.178 
      192      1         -0.178     -1.178 
      193      0         -0.178     -0.178 
      194      1         -0.178     -1.178 
      195     -1         -0.178      0.822 
      196     -1         -0.178      0.822 
      197      1         -0.178     -1.178 
      198      1         -0.178     -1.178 
      199      1         -0.178     -1.178 
      200      0         -0.178     -0.178 
      201      1         -0.178     -1.178 
      202      0         -0.178     -0.178 
      203     -1         -0.178      0.822 
      204     -1         -0.178      0.822 
      205     -1         -0.178      0.822 
      206     -1         -0.178      0.822 
      207     -1         -0.178      0.822 
      208     -1         -0.178      0.822 
      209     -1         -0.178      0.822 
      210     -1         -0.178      0.822 
      211     -1         -0.178      0.822 
      212      0         -0.178     -0.178 
      213     -1         -0.178      0.822 
      214     -1         -0.178      0.822 
      215     -1         -0.178      0.822 
      216     -1         -0.178      0.822 
      217     -1         -0.178      0.822 
      218     -1         -0.178      0.822 
      219     -1         -0.178      0.822 
      220      0         -0.178     -0.178 
      221      1         -0.178     -1.178 
      222     -1         -0.178      0.822 
      223      1         -0.178     -1.178 
      224     -1         -0.178      0.822 
      225     -1         -0.178      0.822 
      226      1         -0.178     -1.178 
      227      0         -0.178     -0.178 
      228      1         -0.178     -1.178 
      229      0         -0.178     -0.178 
      230     -1         -0.178      0.822 
      231      0         -0.178     -0.178 
      232      1         -0.178     -1.178 
      233      1         -0.178     -1.178 
      234     -1         -0.178      0.822 
      235     -1         -0.178      0.822 
      236      1         -0.178     -1.178 
      237      1         -0.178     -1.178 
      238      0         -0.178     -0.178 
      239      1         -0.178     -1.178 
      240      1         -0.178     -1.178 
      241      1         -0.178     -1.178 
      242      0         -0.178     -0.178 
