=== Run information ===

Scheme:       weka.classifiers.trees.RandomForest -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
Relation:     cleaned_demone
Instances:    6268
Attributes:   5
              ID
              TRUNCATED
              possibly_sensitive
              retweeted_status
              reaction
Test mode:    evaluate on training data

=== Classifier model (full training set) ===

RandomForest

Bagging with 100 iterations and base learner

weka.classifiers.trees.RandomTree -K 0 -M 1.0 -V 0.001 -S 1 -do-not-check-capabilities

Time taken to build model: 1.64 seconds

=== Predictions on training set ===

    inst#     actual  predicted      error
        1      1          0.61      -0.39  
        2      0         -0.15      -0.15  
        3     -1         -0.61       0.39  
        4     -1         -1          0     
        5     -1         -1          0     
        6     -1         -0.93       0.07  
        7     -1         -0.97       0.03  
        8     -1         -0.93       0.07  
        9     -1         -0.97       0.03  
       10     -1         -0.99       0.01  
       11     -1         -0.91       0.09  
       12      0         -0.29      -0.29  
       13     -1         -0.98       0.02  
       14     -1         -1          0     
       15     -1         -1          0     
       16     -1         -1          0     
       17     -1         -0.55       0.45  
       18     -1         -0.93       0.07  
       19     -1         -0.76       0.24  
       20      0         -0.34      -0.34  
       21      1          0.83      -0.17  
       22     -1         -0.9        0.1   
       23      1          0.83      -0.17  
       24     -1         -0.91       0.09  
       25     -1         -0.77       0.23  
       26      1          0.74      -0.26  
       27      0          0.29       0.29  
       28      1          0.57      -0.43  
       29      0         -0.3       -0.3   
       30     -1         -0.54       0.46  
       31      0         -0.26      -0.26  
       32      1          0.95      -0.05  
       33      1          0.95      -0.05  
       34     -1         -0.67       0.33  
       35     -1         -0.7        0.3   
       36      1          0.98      -0.02  
       37      1          0.98      -0.02  
       38      0          0.14       0.14  
       39      1          0.63      -0.37  
       40      1          0.89      -0.11  
       41      1          0.61      -0.39  
       42      0          0.24       0.24  
       43      1          0.64      -0.36  
       44     -1         -0.52       0.48  
       45     -1         -0.27       0.73  
       46      1          0.31      -0.69  
       47      1          0.86      -0.14  
       48      1          0.59      -0.41  
       49      0          0.15       0.15  
       50      1          0.68      -0.32  
       51      0          0.2        0.2   
       52     -1         -0.91       0.09  
       53     -1         -0.93       0.07  
       54     -1         -1          0     
       55     -1         -0.79       0.21  
       56     -1         -0.96       0.04  
       57     -1         -0.98       0.02  
       58     -1         -0.94       0.06  
       59     -1         -0.94       0.06  
       60     -1         -0.99       0.01  
       61      0         -0.45      -0.45  
       62     -1         -0.93       0.07  
       63     -1         -0.93       0.07  
       64     -1         -0.97       0.03  
       65     -1         -0.97       0.03  
       66     -1         -0.73       0.27  
       67     -1         -0.88       0.12  
       68     -1         -0.7        0.3   
       69      0          0.17       0.17  
       70      1          0.49      -0.51  
       71     -1         -0.83       0.17  
       72      1          0.26      -0.74  
       73     -1         -0.37       0.63  
       74     -1         -0.5        0.5   
       75      1          0.51      -0.49  
       76      0          0.05       0.05  
       77      1          0.41      -0.59  
       78      0         -0.31      -0.31  
       79     -1         -0.48       0.52  
       80      0          0.12       0.12  
       81      1          0.78      -0.22  
       82      1          0.86      -0.14  
       83     -1         -0.52       0.48  
       84     -1         -0.5        0.5   
       85      1          0.73      -0.27  
       86      1          0.36      -0.64  
       87      0          0.33       0.33  
       88      1          0.77      -0.23  
       89      1          0.78      -0.22  
       90      1          0.76      -0.24  
       91      0          0.09       0.09  
       92      1          0.76      -0.24  
       93     -1         -0.69       0.31  
       94     -1         -0.41       0.59  
       95      1          0.89      -0.11  
       96      1          0.86      -0.14  
       97      1          0.67      -0.33  
       98      0          0.24       0.24  
       99      1          0.85      -0.15  
      100      0         -0.21      -0.21  
      101     -1         -0.98       0.02  
      102     -1         -1          0     
      103     -1         -1          0     
      104     -1         -1          0     
      105     -1         -1          0     
      106     -1         -0.77       0.23  
      107     -1         -0.57       0.43  
      108     -1         -1          0     
      109     -1         -0.51       0.49  
      110      0         -0.22      -0.22  
      111     -1         -1          0     
      112     -1         -1          0     
      113     -1         -0.79       0.21  
      114     -1         -1          0     
      115     -1         -0.69       0.31  
      116     -1         -0.99       0.01  
      117     -1         -0.99       0.01  
      118      0          0.13       0.13  
      119      1          0.48      -0.52  
      120     -1         -0.54       0.46  
      121      1          0.8       -0.2   
      122     -1         -0.96       0.04  
      123     -1         -0.96       0.04  
      124      1          0.84      -0.16  
      125      0         -0.23      -0.23  
      126      1          0.38      -0.62  
      127      0         -0.21      -0.21  
      128     -1         -0.42       0.58  
      129      0          0.24       0.24  
      130      1          0.91      -0.09  
      131      1          0.85      -0.15  
      132     -1         -0.763      0.237 
      133     -1         -0.543      0.457 
      134      1          0.837     -0.163 
      135      1          0.837     -0.163 
      136      0          0.24       0.24  
      137      1          0.898     -0.102 
      138      1          0.898     -0.102 
      139      1          0.757     -0.243 
      140      0          0.347      0.347 
      141      1          0.362     -0.638 
      142     -1         -0.421      0.579 
      143     -1         -0.65       0.35  
      144      1          0.376     -0.624 
      145      1          0.718     -0.282 
      146      1          0.66      -0.34  
      147      0          0.239      0.239 
      148          ?      0.158          ? 
      149          ?      0.6            ? 
      150          ?      0.496          ? 
      151          ?      0.296          ? 
      152      1          0.296     -0.704 
      153      0         -0.39      -0.39  
      154     -1         -0.848      0.152 
      155     -1         -0.848      0.152 
      156     -1         -0.97       0.03  
      157     -1         -0.77       0.23  
      158     -1         -1          0     
      159     -1         -1          0     
      160     -1         -1          0     
      161     -1         -1          0     
      162     -1         -1          0     
      163      0          0.04       0.04  
      164     -1         -1          0     
      165     -1         -1          0     
      166     -1         -1          0     
      167     -1         -1          0     
      168     -1         -0.97       0.03  
      169     -1         -0.91       0.09  
      170     -1         -0.62       0.38  
      171      0          0.1        0.1   
      172      1          0.4       -0.6   
      173     -1         -0.44       0.56  
      174      1          0.52      -0.48  
      175     -1         -0.91       0.09  
      176     -1         -0.91       0.09  
      177      1          0.34      -0.66  
      178      0         -0.13      -0.13  
      179      1          0.86      -0.14  
      180      0         -0.19      -0.19  
      181     -1         -0.61       0.39  
      182      0          0.21       0.21  
      183      1          0.75      -0.25  
      184      1          0.41      -0.59  
      185     -1         -0.26       0.74  
      186     -1         -0.85       0.15  
      187      1          0.64      -0.36  
      188      1          0.6       -0.4   
      189      0          0.34       0.34  
      190      1          0.87      -0.13  
      191      1          0.85      -0.15  
      192      1          0.98      -0.02  
      193      0         -0.08      -0.08  
      194      1          0.98      -0.02  
      195     -1         -0.7        0.3   
      196     -1         -0.65       0.35  
      197      1          0.98      -0.02  
      198      1          0.96      -0.04  
      199      1          0.75      -0.25  
      200      0          0.32       0.32  
      201      1          0.66      -0.34  
      202      0          0.22       0.22  
      203     -1         -0.91       0.09  
      204     -1         -0.91       0.09  
      205     -1         -0.9        0.1   
      206     -1         -0.97       0.03  
      207     -1         -0.98       0.02  
      208     -1         -0.95       0.05  
      209     -1         -0.91       0.09  
      210     -1         -0.98       0.02  
      211     -1         -0.71       0.29  
      212      0         -0.31      -0.31  
      213     -1         -0.87       0.13  
      214     -1         -0.94       0.06  
      215     -1         -0.99       0.01  
      216     -1         -0.63       0.37  
      217     -1         -0.99       0.01  
      218     -1         -0.46       0.54  
      219     -1         -0.73       0.27  
      220      0         -0.21      -0.21  
      221      1          0.39      -0.61  
      222     -1         -0.76       0.24  
      223      1          0.34      -0.66  
      224     -1         -0.7        0.3   
      225     -1         -0.78       0.22  
      226      1          0.9       -0.1   
      227      0         -0.07      -0.07  
      228      1          0.94      -0.06  
      229      0          0.03       0.03  
      230     -1         -0.43       0.57  
      231      0         -0.29      -0.29  
      232      1          0.29      -0.71  
      233      1          0.36      -0.64  
      234     -1         -0.78       0.22  
      235     -1         -0.59       0.41  
