=== Run information ===

Scheme:       weka.classifiers.rules.ZeroR 
Relation:     cleaned_demone
Instances:    6268
Attributes:   5
              ID
              TRUNCATED
              possibly_sensitive
              retweeted_status
              reaction
Test mode:    evaluate on training data

=== Classifier model (full training set) ===

ZeroR predicts class value: -0.26853035143769965

Time taken to build model: 0 seconds

=== Predictions on training set ===

    inst#     actual  predicted      error
        1      1         -0.269     -1.269 
        2      0         -0.269     -0.269 
        3     -1         -0.269      0.731 
        4     -1         -0.269      0.731 
        5     -1         -0.269      0.731 
        6     -1         -0.269      0.731 
        7     -1         -0.269      0.731 
        8     -1         -0.269      0.731 
        9     -1         -0.269      0.731 
       10     -1         -0.269      0.731 
       11     -1         -0.269      0.731 
       12      0         -0.269     -0.269 
       13     -1         -0.269      0.731 
       14     -1         -0.269      0.731 
       15     -1         -0.269      0.731 
       16     -1         -0.269      0.731 
       17     -1         -0.269      0.731 
       18     -1         -0.269      0.731 
       19     -1         -0.269      0.731 
       20      0         -0.269     -0.269 
       21      1         -0.269     -1.269 
       22     -1         -0.269      0.731 
       23      1         -0.269     -1.269 
       24     -1         -0.269      0.731 
       25     -1         -0.269      0.731 
       26      1         -0.269     -1.269 
       27      0         -0.269     -0.269 
       28      1         -0.269     -1.269 
       29      0         -0.269     -0.269 
       30     -1         -0.269      0.731 
       31      0         -0.269     -0.269 
       32      1         -0.269     -1.269 
       33      1         -0.269     -1.269 
       34     -1         -0.269      0.731 
       35     -1         -0.269      0.731 
       36      1         -0.269     -1.269 
       37      1         -0.269     -1.269 
       38      0         -0.269     -0.269 
       39      1         -0.269     -1.269 
       40      1         -0.269     -1.269 
       41      1         -0.269     -1.269 
       42      0         -0.269     -0.269 
       43      1         -0.269     -1.269 
       44     -1         -0.269      0.731 
       45     -1         -0.269      0.731 
       46      1         -0.269     -1.269 
       47      1         -0.269     -1.269 
       48      1         -0.269     -1.269 
       49      0         -0.269     -0.269 
       50      1         -0.269     -1.269 
       51      0         -0.269     -0.269 
       52     -1         -0.269      0.731 
       53     -1         -0.269      0.731 
       54     -1         -0.269      0.731 
       55     -1         -0.269      0.731 
       56     -1         -0.269      0.731 
       57     -1         -0.269      0.731 
       58     -1         -0.269      0.731 
       59     -1         -0.269      0.731 
       60     -1         -0.269      0.731 
       61      0         -0.269     -0.269 
       62     -1         -0.269      0.731 
       63     -1         -0.269      0.731 
       64     -1         -0.269      0.731 
       65     -1         -0.269      0.731 
       66     -1         -0.269      0.731 
       67     -1         -0.269      0.731 
       68     -1         -0.269      0.731 
       69      0         -0.269     -0.269 
       70      1         -0.269     -1.269 
       71     -1         -0.269      0.731 
       72      1         -0.269     -1.269 
       73     -1         -0.269      0.731 
       74     -1         -0.269      0.731 
       75      1         -0.269     -1.269 
       76      0         -0.269     -0.269 
       77      1         -0.269     -1.269 
       78      0         -0.269     -0.269 
       79     -1         -0.269      0.731 
       80      0         -0.269     -0.269 
       81      1         -0.269     -1.269 
       82      1         -0.269     -1.269 
       83     -1         -0.269      0.731 
       84     -1         -0.269      0.731 
       85      1         -0.269     -1.269 
       86      1         -0.269     -1.269 
       87      0         -0.269     -0.269 
       88      1         -0.269     -1.269 
       89      1         -0.269     -1.269 
       90      1         -0.269     -1.269 
       91      0         -0.269     -0.269 
       92      1         -0.269     -1.269 
       93     -1         -0.269      0.731 
       94     -1         -0.269      0.731 
       95      1         -0.269     -1.269 
       96      1         -0.269     -1.269 
       97      1         -0.269     -1.269 
       98      0         -0.269     -0.269 
       99      1         -0.269     -1.269 
      100      0         -0.269     -0.269 
      101     -1         -0.269      0.731 
      102     -1         -0.269      0.731 
      103     -1         -0.269      0.731 
      104     -1         -0.269      0.731 
      105     -1         -0.269      0.731 
      106     -1         -0.269      0.731 
      107     -1         -0.269      0.731 
      108     -1         -0.269      0.731 
      109     -1         -0.269      0.731 
      110      0         -0.269     -0.269 
      111     -1         -0.269      0.731 
      112     -1         -0.269      0.731 
      113     -1         -0.269      0.731 
      114     -1         -0.269      0.731 
      115     -1         -0.269      0.731 
      116     -1         -0.269      0.731 
      117     -1         -0.269      0.731 
      118      0         -0.269     -0.269 
      119      1         -0.269     -1.269 
      120     -1         -0.269      0.731 
